"annot","pVal","phase","peak.shape","period"
"Usp16",8.84076494821222e-10,2,4,12
"Itpk1",1.87998455930434e-06,24,10,24
"Ptpra",0.259051612692088,6,12,18
"Tcf3",1.23077449588936e-05,8,10,24
"Tpm4",0.00685218395576694,4,4,12
"Mrps15",0.0237043143094148,16,14,24
"Depdc7",6.70198269438146e-05,2,10,24
"Elp3",0.0567160739548361,8,12,22
"Wwc2",0.928852180568453,2,16,24
"Lipg",3.22604958064765e-11,14,12,24
"Slc35b4",0.000122315309836197,20,16,24
"Plod3",5.59051366793437e-05,24,6,24
"Cul5",0.977053255676583,8,10,22
"Rab32",3.45851079704477e-14,2,10,24
"Nop2",1.58466348979226e-07,14,16,24
"Gas2l1",4.89375532570959e-11,2,8,24
"Dock1",0.612479252342381,24,4,24
"Hnf1b",1.6907058997653e-14,2,10,24
"Tbk1",0.0119565814468194,8,8,24
"Arfgap1",0.000189343707547618,8,10,22
"Stk4",0.000267836043796846,24,10,24
"Clec4g",0.0133053620648083,22,20,24
"Ccdc117",4.09609928751452e-07,2,4,12
"Med16",4.08559025249896e-09,10,12,24
"Btbd7",0.0819675042837254,22,14,24
"Grpel2",0.000133622300187873,8,8,24
"Tpst2",1.8586153981133e-13,24,10,24
"Nubp2",0.001282639094949,24,10,24
"Rilp",0.0257124755479977,4,6,24
"Cgrrf1",5.72724795105433e-06,16,12,24
"Wdr4",0.0190425523854109,2,6,12
"Flt4",0.00905832902057785,10,8,24
"Desi2",7.52901557044319e-18,24,8,24
"Sulf2",8.48882583928164e-10,10,16,24
"Ddo",7.15721306095246e-12,14,12,24
"Taco1",0.0127997491434275,6,12,24
"Kif13a",0.000215976916641676,14,6,24
"Atg101",1.46898561171401e-09,6,6,24
"Angptl2",6.60912826786008e-08,14,12,24
"Creb3",4.0496811405419e-07,8,10,24
"Exosc5",0.0324002567465637,14,14,22
"Arid4a",0.125620806934219,22,14,24
"Elmo3",3.81068668003923e-12,8,8,24
"Usp2",8.67885800130327e-21,12,16,24
"Rala",0.501382168761506,20,8,22
"2210016F16Rik",0.000429676336888734,4,10,24
"Tnnc2",0.0704684763167309,10,20,24
"Kdsr",0.312159471596185,10,14,24
"Aebp2",0.0102504800614272,2,8,16
"Pprc1",1.13387898696429e-06,2,4,12
"N4bp2l1",5.04782871663467e-09,10,14,24
"Fads3",2.83422852511915e-07,10,10,24
"Emilin1",0.00840834896052924,24,10,24
"Pkd2",0.0377781697488802,2,8,16
"Zfp266",0.0096357770026844,24,18,24
"Ccl9",0.0041486127029924,24,14,24
"Dhx37",1.18850544518952e-05,24,10,24
"Zhx2",3.5636776374862e-05,16,18,24
"Nab2",0.00153020509255653,8,12,24
"Irf2bp1",2.3063933623457e-05,12,6,12
"Ddx56",0.000818884746190972,12,6,12
"Dnajc21",0.000664281187595352,18,14,22
"Fmo2",2.8214546566934e-11,14,18,24
"Coq10a",2.93936879008957e-06,10,8,24
"Tmem87b",1.33398069723511e-06,12,6,24
"H1f2",3.54439473927119e-16,24,14,24
"Specc1l",0.208248103380935,24,12,24
"Cacfd1",8.54621888596681e-07,12,8,24
"Tent4a",3.10339157450069e-07,16,14,24
"Vps51",0.000793796255709038,4,14,24
"2310022B05Rik",4.69058869011804e-08,8,10,24
"Mapk15",3.96801454655594e-10,6,8,24
"Cdkn1a",9.61741727659585e-14,24,8,24
"Med22",7.52423861415039e-06,12,8,12
"Paxip1",0.00041040782549148,14,20,24
"Chd6",5.30754889458708e-06,6,10,24
"2610507I01Rik",0.000206259784984246,6,6,24
"Ggt6",1.00678462421631e-06,18,18,24
"Ppp2r2a",0.00352161903152858,14,14,24
"Unc119b",4.3667596594026e-16,2,8,24
"Heatr6",2.70437121594094e-06,12,8,12
"Med24",4.20919945802015e-11,24,12,24
"Fyttd1",0.142075797035055,16,12,22
"Pcsk4",2.67657014419046e-13,12,12,24
