"annot","pVal","phase","peak.shape","period"
"Jpt2",2.34338461929721e-09,4,10,24
"B3gat3",9.72655514485748e-14,24,14,24
"Lnx2",1.41318415121034e-12,24,12,24
"Trio",0.0214893847923407,4,8,12
"Ggt6",6.525716468327e-07,18,18,24
"Blcap",1.13970524007133e-17,2,8,24
"Ahcyl2",3.50289675017404e-07,16,20,24
"Trak2",5.37433202840551e-08,16,12,24
"Tenm3",1.90038228462782e-07,8,12,24
"Zbed6",0.000266275776727816,2,10,16
"Cars",1.59217904724839e-16,4,10,24
"Ssh2",9.94485688127573e-14,14,14,24
"Mn1",1.98919163497469e-12,8,12,24
"Acnat2",3.25691873579421e-08,24,12,24
"Zbtb16",4.57858408357897e-06,14,18,24
"Ankrd28",0.00199887474114844,2,10,16
"Fads3",4.3519117791653e-08,8,16,24
"Wdr7",0.245955102098382,2,8,22
"Grpel2",8.14273074792968e-05,6,20,24
"Shank2",3.5166141329591e-11,20,20,24
"Il13ra1",0.0607788547345749,4,6,12
"Sort1",7.43577815949714e-05,14,6,16
"Nat10",4.07453078425886e-15,2,8,24
"Nup153",0.000209215119249857,2,10,16
"Atp2a1",0.3221897066344,8,16,18
"Zfhx4",8.16372949504517e-08,2,10,24
"Stx4a",8.23408928514552e-19,6,8,24
"Ugt1a5",0.00104954792253341,6,6,16
"Smagp",9.48101054410974e-19,2,12,24
"Xpo1",0.154823006150321,4,6,12
"Ociad2",7.51279196429183e-07,8,12,24
"Mga",0.035647106223086,8,10,24
"Ankib1",0.0017247596313907,14,20,24
"Sec23ip",2.54537864235687e-05,2,6,12
"Kifc3",7.37356715883845e-09,2,8,24
"Btaf1",0.00383300122336386,4,6,22
"Lmo7",2.5427786196685e-12,14,12,24
"Pde9a",1.17507112903087e-15,2,10,24
"Tesk1",2.66850530647605e-06,24,8,24
"Atic",6.23584956991538e-06,16,16,24
"Ankrd13a",8.11262784606778e-11,20,16,24
"Atoh8",6.59369488267134e-07,6,10,22
"Tlcd1",0.105431209503226,6,10,24
"Srsf10",9.34529836680173e-06,16,18,24
"Prkcz",0.00582957723817441,12,16,24
"Aak1",0.000435380825182783,16,18,24
"Fnip1",7.79271567233803e-13,8,18,24
"C1qb",0.0394431490314259,10,2,16
"Rpa1",0.0268762655015631,8,4,24
"Fndc3b",2.79108106979017e-07,4,6,12
"Rnf152",1.3417709585289e-11,8,16,24
"Zfp809",0.0031694622369919,16,14,22
"4833420G17Rik",7.30457176067265e-07,12,4,24
"Tm6sf2",0.0380388532749984,2,14,16
"Zfand4",0.000276672170979806,22,16,24
"Rabl6",1.81167643656602e-09,16,14,24
"Adam10",0.000778309375884212,4,6,12
"Umod",0.999999999916833,8,8,12
"Zfp110",4.3852978768077e-06,24,20,24
"Kdm5b",0.0226222552221757,12,8,16
"Znrf2",8.08145295769511e-06,4,14,24
"Trmt1l",0.00158014020209533,16,16,24
"Ppfibp1",1.12698295940807e-14,8,10,24
"Inpp4a",0.000115099577942158,8,10,24
"Atat1",2.47451336531788e-12,4,6,24
"Scfd1",2.92629783038534e-06,4,8,12
"Aqp11",1.87326677670432e-17,14,14,24
"Flcn",8.23915449106747e-10,10,8,24
"Lyz2",0.00333803530184185,10,2,16
"Gas1",0.00127438892759075,4,12,16
"Noct",8.1937261023752e-19,14,16,24
"Vgll4",0.00285680630921428,16,8,22
"Aprt",8.11420063382794e-05,16,14,24
"Ikbke",1.43759647574989e-08,4,6,12
"Pcsk4",4.42364342125344e-17,12,14,24
"Pyroxd2",0.00014167654218426,4,18,24
"Enpp1",4.71931746245607e-05,14,8,24
"Rtn4ip1",0.0243190947351862,16,20,24
"Enpp5",1.93375581919828e-05,8,10,24
"Ubn2",0.0205455231865858,4,2,12
"Vamp2",3.82378754143868e-10,14,10,24
"Snx18",0.145996019575216,8,2,16
"Pum3",8.52912678180877e-06,2,6,12
"Cep85l",0.0736688667652951,14,14,16
"Plxnd1",0.0160243597037417,10,2,16
"Leap2",2.27103435355501e-11,2,10,24
"Acot4",0.000135667603761127,14,14,24
"Mir22hg",0.00240503738510313,8,8,24
"Paxx",1.87786939777731e-17,2,10,24
"1810013L24Rik",2.46108945103069e-12,10,12,24
"Cog7",5.21010643860422e-06,10,12,24
"Tle3",0.0531123622115014,10,8,24
"Itgav",0.00639938106663701,20,16,24
"Rab32",1.20539293803347e-14,2,12,24
"Hbp1",5.12556884978002e-06,8,8,24
"Elmo3",4.10042980854544e-14,10,6,24
"Dmpk",0.00501404646753238,10,2,16
"Chid1",0.0115077129746682,22,16,24
"Hook2",3.18961954499133e-10,12,12,24
"Gtf3c4",0.912666506311414,14,14,16
"Arfgap1",1.24903023870058e-05,2,16,24
"Josd2",4.9054593571572e-07,2,6,24
"Pnkp",1.18572089126544e-17,4,10,24
"Nmrk1",1.26301703976984e-19,14,16,24
"Rbm7",1.03794816150863e-07,10,10,24
"Tgfa",0.000691323463947199,4,4,12
"Noc2l",4.19470716911317e-05,16,18,24
"Ythdf2",1.63871156792343e-07,2,6,24
"Txlna",0.000275050156761791,2,4,24
"5033421B08Rik",8.25829733062978e-05,8,6,12
"Fitm2",1.62351968169917e-10,14,14,24
"Pom121",1.89972482248223e-08,14,18,24
"Mospd2",5.17504096311444e-08,6,12,24
"Spata2l",3.65896322077954e-09,10,16,24
"Dnajc25",0.00712053360520875,16,8,18
"Slc39a11",9.62951890980878e-06,6,12,24
"Tirap",0.0332987515109108,4,6,12
"Mxd4",0.961824545349877,6,6,16
"Twnk",2.74854248328774e-07,16,16,24
"Zfyve9",2.27103435355501e-11,14,14,24
"Bod1l",0.0703962210701032,4,8,16
"Sugct",0.0479315693270816,10,12,24
"Them7",0.0511039319787298,14,8,24
"Polr1a",1.30640556384941e-05,14,18,24
"Psmb10",8.22604804080887e-08,12,14,24
"Bcas3",3.45463533713923e-10,14,6,24
"Ptpn21",1.2302947633933e-11,16,18,24
"Casp7",2.64455583593831e-11,14,6,24
"Actr8",8.56273660200196e-06,8,10,24
"Usp36",3.84555631281327e-09,2,4,12
"Tcaim",3.12969750794046e-08,16,16,24
"Chd7",7.28409765413417e-13,14,14,24
"Prps1l3",2.7366370010052e-05,2,8,22
"Gm41999",2.89285671568208e-09,10,6,24
"Mpp1",0.138293156972875,20,8,24
"Fam135a",2.164852200522e-07,24,12,24
"Kdr",0.210240425654196,8,4,12
"Irs2",1.92917345541543e-05,4,12,24
"Fnbp1",1.65014296294067e-07,4,14,24
"Tbc1d16",1.66809169331145e-14,12,10,24
"Tfip11",0.126281987727931,2,16,24
"Rex1bd",0.000359773285799563,6,10,24
"Ppp4r3b",0.00258589006484728,2,10,16
"Usp6nl",0.0002022895398611,6,10,24
"Igsf5",0.00976961632479032,8,2,12
"Zhx2",1.10266599930072e-06,16,18,24
"1700066M21Rik",8.35602683914141e-06,2,12,24
"Dapk3",2.13763707879499e-08,4,6,12
"Tfrc",8.28122145760098e-07,16,18,24
"Rai1",9.0591870067509e-06,2,16,24
"Heatr3",4.44617998073585e-05,16,18,24
"Tsc22d2",0.000817003252750388,12,16,24
"Foxk2",0.000371967221403086,16,16,24
"Pycrl",7.59874781852192e-08,16,18,24
"Notch1",1.19581705944513e-05,6,10,22
"Xpnpep3",1.79516791021267e-09,16,16,24
"Rabggtb",1.81123385233616e-08,2,16,24
"Tmem238",0.000123932159462899,24,6,24
"Ephb4",0.0261692805234061,12,14,24
"Dnajb1",0.000176982175906856,16,16,24
"Cdc40",0.000576971370002832,14,4,24
"Spag7",5.28536248528257e-08,8,8,24
"Trp53bp2",1.99225413280754e-06,14,20,24
"Ppp4r1",1.74894213582158e-07,14,18,24
"Fam20b",6.56330965491695e-08,14,16,24
"Setx",0.0351930029590976,8,10,24
"Ppme1",0.000163336079167913,2,6,12
"Ncbp1",1.5804395620347e-08,16,18,24
"Dlgap4",1.72743028746392e-08,12,10,24
"Ndufaf4",9.17041783191053e-12,16,14,24
"Zfp768",0.000581233300326979,12,10,12
"Tbccd1",0.000173606011100428,2,8,12
"Prr14l",0.155551128750508,16,18,24
"Ip6k2",0.00217457583987325,8,4,12
"9930021J03Rik",7.65490539444276e-05,2,10,16
"Tnxb",2.08426368106355e-07,16,12,24
"Depdc7",0.00773106670932352,4,6,12
"Synrg",0.111278913727405,2,8,24
"Acot7",2.73471454271099e-06,14,18,24
"Adck5",1.57488871076663e-08,6,10,24
"Fam114a1",1.40047701715392e-10,4,16,24
"Usp2",1.69603630765235e-25,14,14,24
"Rbm28",5.15658454000576e-09,2,6,24
"Slco1a4",0.000297013353629253,14,8,24
"Nrep",2.13142215429058e-10,14,16,24
"Cpne1",1.94886120725271e-05,4,12,22
"Wdr77",1.05639365757995e-05,2,8,12
"Ergic2",0.000441852505062184,12,20,24
"Nfkb1",6.05314317906326e-07,2,10,24
"Slc23a2",5.0980218404138e-12,8,16,24
"Trp53",8.80774814709594e-07,4,10,24
"Auh",2.90939867319315e-10,12,10,24
"Tpst1",7.17622107916151e-09,16,16,24
"Ddhd1",1.27998586295855e-18,2,8,24
"Pikfyve",0.0017225885594442,4,8,16
"Dhx33",2.16721445254898e-05,2,6,12
"Gnl1",1.10033243771607e-09,14,8,24
"Tent4a",4.10759741619698e-08,16,14,24
"Rcan1",1.44715294956612e-08,16,16,24
"Pdf",0.00298947612947764,2,6,24
"Flna",0.0130494079899583,4,10,16
"Ttc7b",3.38245313460008e-08,16,12,24
"Fars2",2.80109863923455e-08,12,10,24
"Hnrnpr",2.1869387147342e-05,8,4,24
"Alpl",2.75869347767549e-13,16,14,24
"Mtfp1",5.67255565029302e-05,22,10,22
"Dennd4c",0.00844954126023065,6,4,16
"Cecr2",0.00389830518217202,6,18,24
"Med16",7.46659664850954e-07,14,10,22
"Tpd52l2",0.00154571212803581,12,10,24
"Slc22a12",0.999999171365444,22,8,24
"Gas2l1",0.00767607390409694,4,6,12
"Abtb1",4.49523136330583e-12,12,4,24
"Gtpbp1",6.30955937570634e-06,14,8,24
"Plod3",1.22490084335042e-08,20,12,24
"Asxl1",8.86167091945428e-05,8,4,12
"Lsm14a",0.00057587612329175,22,14,24
"Snap23",0.000562167762340072,4,8,12
"Rock2",0.0179359463152159,14,12,24
"Zfp385a",3.85369056707689e-13,4,10,24
"Gnl2",5.17359269743385e-06,12,8,12
"Kras",1.1572626014017e-09,2,10,24
"Arl4a",1.75862836668583e-09,4,8,24
"Dmd",2.76100903340937e-06,14,16,24
"Eepd1",1.44176604900795e-09,8,14,24
"Junb",6.6967111423179e-10,10,8,24
"Mier1",0.0259497449284123,8,4,12
"Rc3h1",0.000827492042143918,6,4,16
"Ice1",0.00214965275697419,4,6,22
"Psmb8",0.000310766648110128,14,10,24
"Zfp740",9.5716732572344e-05,20,20,24
"Ypel2",3.42468673057e-14,22,14,24
"Bco2",5.5625088412064e-15,4,10,24
"Ppm1f",8.62603723463082e-08,4,8,24
"Rcor1",4.02244894528794e-10,2,8,24
"Tspyl1",3.74280053012434e-09,6,10,24
"Zfp664",6.95779784247558e-06,14,16,24
"Cdc42bpg",0.0351635705295301,8,8,12
"Fam83h",2.57768369216191e-07,6,10,24
"Ccnk",0.000108719315218575,10,8,24
"Tacc2",0.024386717756286,8,4,12
"Zfhx3",0.386774398513401,16,14,16
"Ccar2",1.15433399985342e-07,4,8,24
"Tbcd",0.00618133532011143,8,16,24
"Rab21",4.27568324396975e-08,2,10,24
"Phf1",0.000320099172250403,4,10,24
"Itpk1",5.18295375706151e-10,4,8,24
"Rcbtb2",5.17034316397863e-10,4,16,24
"Ybx3",2.84657064869478e-05,20,10,24
"Atg101",5.77284330734763e-10,6,6,24
"Pacs2",0.0039093631771915,2,8,18
"Ddx27",2.01331038178069e-07,2,6,12
"Rffl",2.37801591908978e-09,8,10,24
"Vps35l",2.03108221718852e-11,8,8,24
"Tada2b",1.6434457757556e-06,2,6,12
"Fdxr",1.01130495608703e-10,10,12,24
"Hspb6",2.56960222446806e-06,8,10,24
"Dmwd",3.23193767560886e-05,12,6,16
"Nlrc5",3.3199883216393e-14,8,16,24
"Dpy19l3",2.62137324626635e-07,8,10,24
"Usp38",0.0155699346131532,2,4,12
"Avpi1",0.052831646707117,12,10,12
"Emg1",0.00270723738229831,2,12,24
"Cacybp",5.99858689021921e-08,16,18,24
"Nub1",0.000270388654497814,4,14,24
"Cstf1",0.00287020487051777,24,20,24
"Dnajb4",0.000908511434630655,2,6,12
"Lias",2.52029667545099e-07,6,12,24
"Hnf1b",2.99590393274987e-06,24,14,24
"Nadsyn1",5.15197800750341e-08,12,10,24
"Nat8f5",2.00816191005391e-19,20,12,24
"Thoc2",0.000784655191861625,16,20,24
"Vps37b",2.31408935895239e-09,20,14,24
"Kdm5a",6.31263153202923e-06,8,10,24
"Casp8",3.15480511747646e-06,12,8,12
"Exosc5",9.81942737047808e-06,12,14,24
"Trappc12",0.107025150515336,2,8,12
"Adgrf5",0.00756306974906406,8,4,12
"Sri",6.02283370854116e-06,12,10,24
"Fam169b",1.80127650451782e-11,14,12,24
"Tma7",0.00197863307638311,12,6,16
"Adh7",1.01814607840563e-06,18,10,22
"Ugt2b38",0.00031448874596944,12,8,16
"Elp3",0.00018720648201613,2,8,12
"Tspan14",3.40614356515208e-12,24,14,24
"Cgrrf1",2.27738308247901e-09,14,18,24
"E2f4",4.61650861590857e-05,4,4,12
"Rbx1",0.000105429913717439,12,2,16
"Pno1",0.00874780959240845,4,8,22
"Mesd",9.18307264342197e-07,4,6,12
"Rubcn",0.0879589193000922,2,8,18
"Klhdc2",7.85988554439007e-07,6,12,24
"Gpr89",0.275398965862388,4,4,14
"Abtb2",1.34257990505364e-15,20,16,24
"Chordc1",9.793421732772e-08,16,16,24
"Ranbp1",0.00029657291273845,18,14,24
"Tmem143",5.71327272660598e-07,12,4,24
"Tomm7",0.0259247472700539,10,6,16
"Asah2",0.000780927106620781,14,14,24
"Mapk15",1.65607145476582e-10,4,10,24
"Bud23",2.54887869018082e-07,20,18,24
"Cry1",2.47542056434278e-22,22,10,24
"Rfx7",0.000160441128788433,16,20,24
"Dcaf12",0.0229696428880029,12,6,12
"N4bp2l1",1.18254808956227e-07,12,14,24
"Mat2b",2.18503126798424e-05,8,18,24
"Txnrd2",1.58983290925887e-11,10,6,24
"Mrpl27",0.000219868183605038,10,12,24
"Bub3",6.94085849888817e-06,2,8,12
"Nbeal1",0.00111121371475337,16,10,18
"Slc25a32",6.4827610117264e-10,14,12,24
"Dnmt3a",1.10254857129081e-06,8,10,24
"Sfswap",5.75508106591328e-09,6,12,24
"Rbbp5",0.014508076204893,2,4,24
"Rab11fip3",0.0137358192487246,4,8,12
"Spryd4",0.00301038753289771,4,4,12
"Pomt2",8.68667969720463e-06,16,18,24
"Zfp236",1.18903670420679e-06,16,18,24
"Mxi1",8.46343021251775e-08,14,12,24
"Rab3ip",2.1997883365512e-09,12,16,24
"Parp16",4.40920351702519e-06,20,10,24
"Ier2",0.0018842565627851,16,8,22
"Rnps1",0.0370265912173192,12,6,12
"Aifm2",1.70963029730741e-15,14,14,24
"Cog8",3.91347806877903e-08,2,8,12
"Stk38l",0.00289514760092879,2,6,24
"Chpf2",1.59761514620546e-07,6,8,24
"Tor1a",1.36198740184636e-07,14,14,24
"Mlycd",0.00549391050870032,6,12,24
"Zbtb38",0.00167443411009904,22,12,24
"Cpsf2",5.11404958092862e-08,2,6,24
"Ccdc85c",0.00329366696441276,2,12,24
"Anapc16",3.78425531131564e-05,4,12,22
"Mrps30",2.0170602628393e-06,6,12,24
"Scyl3",1.63486156543909e-09,6,12,24
"Slc12a9",2.6360929885815e-06,10,6,24
